#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
84,Josh Richardson,MIA,81,33.2,4.9,10.9,.451,1.6,4.1,.378,1.5,1.8,.845,1.7,2.5,0.9,2.7,3.5,2.9,1.5,0.9,12.9
85,Al Horford,BOS,72,31.6,5.1,10.5,.489,1.3,3.1,.429,1.3,1.7,.783,1.8,1.9,1.4,5.9,7.4,4.7,0.6,1.1,12.9
86,Kent Bazemore,ATL,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.5,3.1,.796,2.4,2.3,0.4,3.4,3.8,3.5,1.5,0.7,12.9
87,Willie Cauley-Stein,SAC,73,28.0,5.3,10.6,.502,0.0,0.2,.250,2.1,3.4,.619,1.5,2.5,1.8,5.2,7.0,2.4,1.1,0.9,12.8
88,Myles Turner,IND,65,28.3,4.7,9.8,.479,0.9,2.4,.357,2.5,3.2,.777,1.5,2.9,1.4,5.0,6.4,1.3,0.6,1.8,12.7
89,Wesley Matthews,DAL,63,33.8,4.5,11.1,.406,2.4,6.4,.381,1.3,1.6,.822,1.3,2.2,0.4,2.7,3.1,2.7,1.2,0.3,12.7
90,Jonas Valanciunas,TOR,77,22.4,5.1,8.9,.568,0.4,1.0,.405,2.2,2.7,.806,1.5,2.5,2.4,6.2,8.6,1.1,0.4,0.9,12.7
91,Elfrid Payton,PHX,63,28.7,5.2,10.6,.493,0.5,1.5,.326,1.7,2.7,.649,2.7,2.3,1.0,3.3,4.3,6.2,1.3,0.3,12.7
92,Serge Ibaka,TOR,76,27.5,5.0,10.3,.483,1.4,3.9,.360,1.2,1.6,.797,1.2,2.8,1.0,5.3,6.3,0.8,0.4,1.3,12.6
93,Robert Covington,PHI,80,31.6,4.3,10.4,.413,2.5,6.9,.369,1.4,1.7,.853,1.6,3.0,0.7,4.7,5.4,1.9,1.7,0.9,12.6
94,Spencer Dinwiddie,BRK,80,28.8,4.0,10.5,.387,1.8,5.4,.326,2.7,3.4,.813,1.6,2.3,0.5,2.7,3.2,6.5,0.8,0.3,12.6
95,E'Twaun Moore,NOP,82,31.5,5.2,10.1,.508,1.6,3.7,.425,0.6,0.8,.706,1.2,2.2,0.7,2.2,2.9,2.3,1.0,0.1,12.5
96,Darren Collison,IND,69,29.3,4.6,9.2,.495,1.4,3.0,.468,1.8,2.1,.882,1.2,1.8,0.5,2.0,2.6,5.3,1.3,0.2,12.4
97,Derrick Favors,UTA,77,28.0,5.1,9.1,.563,0.2,0.8,.222,1.8,2.8,.651,1.1,2.1,2.6,4.6,7.2,1.3,0.7,1.1,12.3
98,Taj Gibson,MIN,82,33.3,5.2,9.0,.577,0.1,0.4,.200,1.7,2.3,.768,1.1,2.7,2.4,4.8,7.1,1.2,0.8,0.7,12.2
99,Justin Holiday,CHI,72,31.5,4.0,10.9,.371,2.2,6.2,.359,1.9,2.3,.823,1.3,1.9,0.4,3.6,4.0,2.1,1.1,0.4,12.2
100,Marco Belinelli,PHI,80,24.3,4.2,9.6,.441,1.9,4.9,.377,1.9,2.0,.908,1.2,1.1,0.2,1.6,1.9,1.9,0.8,0.1,12.1
101,Gerald Green,HOU,41,22.7,4.1,10.1,.407,2.7,7.3,.369,1.2,1.5,.850,0.8,2.1,0.3,2.9,3.2,0.6,0.6,0.4,12.1
102,Caris LeVert,BRK,71,26.2,4.5,10.4,.435,1.2,3.5,.347,1.9,2.6,.711,2.2,2.2,0.7,2.9,3.7,4.2,1.2,0.3,12.1
103,DeAndre Jordan,LAC,77,31.5,4.8,7.5,.645,0.0,0.0,.000,2.4,4.1,.580,1.8,2.6,4.3,10.9,15.2,1.5,0.5,0.9,12.0
104,Dirk Nowitzki,DAL,77,24.7,4.5,9.8,.456,1.8,4.4,.409,1.3,1.4,.898,0.7,1.9,0.3,5.4,5.7,1.6,0.6,0.6,12.0
105,Courtney Lee,NYK,76,30.4,4.5,9.9,.454,1.5,3.7,.406,1.5,1.6,.919,1.1,1.4,0.4,2.6,2.9,2.4,1.1,0.2,12.0
106,Robin Lopez,CHI,64,26.4,5.3,10.1,.530,0.1,0.2,.286,1.1,1.4,.756,1.7,1.7,2.1,2.4,4.5,1.9,0.2,0.8,11.8
107,Thaddeus Young,IND,81,32.2,5.2,10.7,.487,0.7,2.2,.320,0.7,1.1,.598,1.3,2.2,2.3,4.0,6.3,1.9,1.7,0.4,11.8
108,"Kelly Oubre, Jr.",WAS,81,27.5,3.9,9.8,.403,1.6,4.6,.341,2.4,2.9,.820,1.1,2.9,0.7,3.8,4.5,1.2,1.0,0.4,11.8
109,Bogdan Bogdanovic,SAC,78,27.9,4.4,9.9,.446,1.7,4.2,.392,1.3,1.5,.840,1.6,2.2,0.4,2.5,2.9,3.3,0.9,0.2,11.8
110,Tyler Johnson,MIA,72,28.5,4.3,9.9,.435,1.7,4.5,.367,1.5,1.8,.822,1.1,2.1,0.5,3.0,3.4,2.3,0.8,0.5,11.7
111,Trevor Ariza,HOU,67,33.9,4.0,9.7,.412,2.5,6.9,.368,1.1,1.3,.854,0.8,2.0,0.5,3.9,4.4,1.6,1.5,0.2,11.7
112,Domas Sabonis,IND,74,24.5,4.6,8.9,.514,0.2,0.5,.351,2.3,3.0,.750,1.9,3.0,2.2,5.5,7.7,2.0,0.5,0.4,11.6
113,J.J. Barea,DAL,69,23.2,4.4,10.0,.439,1.7,4.5,.367,1.2,1.5,.784,2.1,1.2,0.2,2.7,2.9,6.3,0.5,0.0,11.6
114,Nicolas Batum,CHA,64,31.0,4.2,10.2,.415,1.4,4.3,.336,1.7,2.0,.831,2.0,1.1,0.9,3.9,4.8,5.5,1.0,0.4,11.6
115,De'Aaron Fox,SAC,73,27.7,4.5,10.9,.412,0.6,2.1,.307,1.9,2.7,.723,2.4,2.2,0.5,2.3,2.8,4.4,1.0,0.3,11.6
116,Markieff Morris,WAS,73,27.0,4.5,9.4,.480,1.0,2.8,.367,1.4,1.8,.820,1.7,3.0,1.0,4.6,5.6,1.9,0.8,0.5,11.5
117,Rudy Gay,SAS,57,21.6,4.4,9.4,.471,0.6,2.1,.314,2.0,2.5,.772,1.4,1.7,1.3,3.8,5.1,1.3,0.8,0.7,11.5
118,Kelly Olynyk,MIA,76,23.4,4.2,8.4,.497,1.4,3.7,.379,1.8,2.3,.770,1.9,2.9,1.2,4.5,5.7,2.7,0.8,0.5,11.5
119,Joe Ingles,UTA,82,31.4,4.1,8.8,.467,2.5,5.7,.440,0.8,1.0,.795,1.9,2.2,0.3,3.9,4.2,4.8,1.1,0.2,11.5
120,Dwyane Wade,MIA,67,22.9,4.5,10.2,.438,0.5,1.7,.288,2.0,2.8,.714,2.1,1.9,0.7,3.0,3.8,3.4,0.9,0.7,11.4
121,Reggie Bullock,DET,62,27.9,4.3,8.8,.489,2.0,4.5,.445,0.6,0.8,.796,0.8,1.1,0.4,2.0,2.5,1.5,0.8,0.2,11.3
122,Terry Rozier,BOS,80,25.9,4.0,10.0,.395,1.9,5.0,.381,1.4,1.9,.772,1.0,1.5,0.8,3.9,4.7,2.9,1.0,0.2,11.2
123,Wayne Ellington,MIA,77,26.5,3.7,9.1,.407,2.9,7.5,.392,0.9,1.0,.859,0.7,1.2,0.3,2.5,2.8,1.0,0.7,0.1,11.2
124,Frank Kaminsky,CHA,79,23.2,3.9,9.1,.429,1.3,3.5,.380,2.0,2.5,.799,0.8,1.2,0.6,3.1,3.6,1.6,0.5,0.2,11.1
125,Draymond Green,GSW,70,32.7,4.0,8.8,.454,1.1,3.7,.301,1.9,2.5,.775,2.9,2.6,1.1,6.6,7.6,7.3,1.4,1.3,11.0
126,Montrezl Harrell,LAC,76,17.0,4.6,7.2,.635,0.0,0.1,.143,1.8,2.9,.626,0.9,1.9,1.4,2.7,4.0,1.0,0.5,0.7,11.0
127,Dillon Brooks,MEM,82,28.7,4.1,9.4,.440,1.1,3.2,.356,1.5,2.0,.747,1.5,2.8,0.6,2.5,3.1,1.6,0.9,0.2,11.0
128,Ish Smith,DET,82,24.9,4.7,9.8,.486,0.4,1.2,.347,1.0,1.4,.698,1.3,1.7,0.3,2.4,2.7,4.4,0.8,0.2,10.9
129,Ersan Ilyasova,PHI,69,25.1,4.0,8.9,.452,1.3,3.7,.360,1.5,2.0,.778,1.0,2.3,1.7,4.2,5.9,1.3,0.9,0.4,10.9
